list,battery,projector,work,account,library,id,near,incorrect,transaction,provide,give,found,sound,fix,lecture,wifi,activate,card,adapter,forgot,find,ac,buy,clicker,pm,remote,scan,server,slow,medium,talk,another,login,one,change,opening,require,speaker,lose,internet,detail,password,portal,presentation,connect,sh,misplace,reset,mic,Target_Class
0,0,0,0.403801402,0,0,0,0,0,0,0,0,0,0,0,0,0.413277047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36364749,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5154964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.274165102,0,0,0,0,0,0,0,0,0,0,0.32884594,0,0.561197376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244365208,0,0.417025412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.191279153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548350914,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0.184969992,0,0,0,0,0.529920068,0,0,0,0,0,0,0,0,0.41510479,0.222163243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0.229307446,0,0,0,0,0,0,0,0.217079562,0,0,0,0,0,0,0,0,0,0,0,0.330022835,0,0,0.260729316,0.621910695,0,0,0,0,0.354605102,0,0,0,0,0,0.295376076,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0.377852685,0,0,0,0,0,0,0,0,0,0,0,0,0.512392053,0,0,0,0,0,0,0,0,0,0.214814813,0.512392053,0,0,0,0,0,0,0,0,0,0,0.243360269,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473695063,0.253520639,0,0,0,0,0,0,0,0,0,0,0,0.57441896,0,0,0,0,0,0,0.344800935,0,0,0,0,0,3
0,0,0.172767908,0,0,0,0,0,0,0,0.163555011,0,0,0,0,0,0,0,0,0,0,0,0.248650255,0,0,0,0.468568342,0,0,0,0,0.534342716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0.51961982,0.446138562,0,0,0,0,0,0,0,0,0,0,0.267559317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0.179324894,0,0,0,0,0,0,0,0,0,0,0.215090334,0.28322814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566456279,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209791955,0,0,0,0,0,0,0,0,0,0,0,0.475339907,0,0,0,0,0,0,0,0,0,0,0,0.531095903,4
0,0,0,0,0,0,0,0,0,0,0.164453192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223768364,0,0,0,0,0,0,0,0,0,0,0,0.500031491,4
0,0,0,0.182347366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576003746,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0.364713857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207345195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193708875,0,0,0,0,4
0,0,0,0,0,0,0.431454139,0,0,0,0,0,0,0,0,0,0,0,0.431454139,0,0,0.401980372,0,0.215961254,0,0,0,0,0,0,0,0,0,0,0.158789115,0,0,0,0,0.164918582,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0.520072612,0,0,0.260318591,0,0,0,0,0,0,0,0,0.346715075,0,0,0.242272542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39758403,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0.352460797,0,0,0,0,0,0,0,0,0,0,0,0.352460797,0,0,0,0,0.529265122,0,0,0,0,0,0,0,0,0,0,0.389151009,0,0,0,0,0.202086373,0,0,0,0,0,0,0,0.264632561,0,0,5
0,0,0,0,0,0,0.384368017,0,0,0,0,0,0,0,0,0,0,0,0.384368017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212189842,0,0,0,0,0.220380647,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0.196066835,0,0,0,0,0,0.363991192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414222186,0,0,0,0,0,0,0,0.639865923,0,0,0,0,0,0,0,0,2
0,0,0,0,0.259932403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180607004,0,0,0,0,0,0,0.22226935,0.185994009,0.465287883,0,0,0,0,0,0.259932403,0,2
0,0,0,0.156697311,0,0,0,0,0.282230737,0,0.172773952,0.262665674,0,0,0,0,0.481123157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375899588,0,0,0,0,0,0,0,0,2
0,0,0,0,0.251093008,0,0,0,0,0,0.165161784,0,0,0,0,0,0.306617049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348930379,0,0,0,0,0,0,0,0.539007002,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0.249991195,0,0,0,0,0,0.464099871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26407296,0,0,0,0,0,0,0.324989197,0.543899044,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172474908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187115689,0,0.319325316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21456872,0,0,0,0,0,0.193007012,0.280978222,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177008592,0,0.302076886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365163388,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393953966,0,0,0,0,0,0,0,0,0.169917619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1814784,0,0.464557363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187192233,0,0,0,0,1
0,0,0,0.113704684,0,0,0,0,0.409591674,0,0,0.190598788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264864832,0,0.179586702,0,0,0,0,0,0.272765013,0.511767516,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0.138358819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165343631,0.268702976,0,0.546567252,0,0,0,0,0.165343631,0.138358819,0.173061171,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299306022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340610425,0,0,0,0,0,0,0,0.350769887,0,0,0,0.180906925,0,0,0,0,2
0,0,0,0,0.185924743,0,0,0,0,0,0,0.185924743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387554346,0,0.175182705,0,0,0,0,0,0.133038005,0.166405822,0,0,0,0,0,0,0,2
0,0,0.195088238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414465449,0.221821069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0.194919834,0,0,0,0,0,0,0.429835967,0,0,0,0,0,0,0,0,0,0,0,0.32673662,0,0.482313286,0,0,0,0,0,0,0,0.279393932,0,0.258133094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0.268180568,0.186338019,0.319974614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505372191,0,0,0,0,0,0.229322392,0,0.211871812,0,0,0,0,0,0,0,0,0,0.288156417,0,0,0,0,0,3
0,0,0.300634011,0,0,0,0,0,0,0,0.142301309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319348854,0,0,0,0,0,0,0,0.184992068,0,0.34182972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0.437641041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460810749,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0.428072023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454720042,0,0,0,0,4
0,0,0.358867164,0.154059251,0,0,0,0,0,0,0,0,0,0,0,0.243323244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153162901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0.345361051,0,0,0,0,0,0,0,0,0,0,0,0.518041576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396031348,0,0,0,0,0,0,0,0,0,0,5
