exact,summer,brochak,semester,permission,open,one,join,timetable,tentative,year,know,tomorrow,still,timing,science,foundation,enlist,fall,offer,fc,option,removal,begin,registration,date,remove,next,new,time,curricular,physic,major,list,happen,separate,reistration,registrarion,delete,take,slot,hey,co,selection,held,drop,add,monsoon,psychology,nd,Target_Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240552712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571772529,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338685254,0,0,0,0.193431072,0,0,0,0,0,0,0,0,0,0,0,0,0.20968955,0,0,0,0,0,0,0,0,0,0,0,0.689652835,0,0,0,0,7
0,0,0,0.198153132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518416668,0,0,0,0,7
0,0,0,0,0.449565741,0,0,0.494634899,0,0,0,0,0,0,0,0,0,0,0,0,0.128378756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163725174,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322777249,0,0,0,0,0,0,0,0,0.152029696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0.323223582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212435958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0.459467005,0,0.143857824,0,0,0,0,0,0,0,0.324997229,0,0,0,0,0,0,0,0.18221894,0.158342856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.312195939,0,0,0,0,0,0,0,0.176324812,0,0,0,0,0,0,0,0.197723042,0,0,0,0,0,0,0,0.422568792,0,0,0,0,0.219121271,0.18625708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0.287493941,0,0.180027085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243673342,0,0,0,0,0,0.429618903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.103509043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140103332,0,0,0,0.398972836,0.145299988,0.123507642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.162315804,0,0,0,0,0,0,0.290570377,0,0,0,0.18834003,0,0,0,0,0,0,0,0,0,0.411197846,0.259209941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31282096,10
0,0,0,0,0,0,0,0,0.284795257,0,0,0,0,0,0.620790395,0,0,0,0,0,0.19629394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0.265289259,0,0,0,0,0,0.385514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265289259,0,0,0,0,0,0,0,0,0,0,0.233193319,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543980182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0.139810061,0,0,0.143616414,0,0,0,0,0,0,0,0,0,0.313553949,0.197657408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367955922,0,0,0.483671819,0.304895915,0,0,0,0,0,0,0,0,0,0.40484366,0,0.40484366,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330276099,0,0,0,0,0,0,0,0,0,0,0,0.724168493,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22343526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309262779,0,0,0,0,0,0.53108586,0,0,0,0,7
0,0,0,0.152472697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398905568,0,0,0.293850964,0,7
0,0,0,0,0,0,0.211823331,0,0.17552121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767795,0,0,0,0,0.30857166,0,0,0,0,0,0,0,0,0,0,0,0,0.287552251,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283397357,0,0,0,0.16185486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448055368,0,0,0,0,0,0.384714694,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302004618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204987116,0,0,0.302004618,0,7
0,0.17861046,0,0,0,0,0,0,0,0,0,0.126337482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157001328,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140572229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155785413,0,0,0,0,0,0.155785413,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145984924,0,0,0,0,0,0,0,0,0,0.255610128,0,0,0.158255407,0,0,0,0,0,0.202061676,0,0,0.255610128,0,0,0,0.558536501,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567923996,0,0,0,0,0,0,0,0,0,0,0,0,0.516177028,0,0,0,0,0,0,0,0,0,0,0,0.258088514,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24421057,0,0,0,0,0,0,0,0,0,0,0,0,0.541279661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541279661,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575568862,0.295995247,0,0,0,0,0,0,0,0,0,0,0,0,0.251904043,0,0,0,0.232103395,0,0,0,0,0,0,0,0,0.318661242,0,0,0,0,0,0,0,0,8
0,0,0.567025847,0,0,0,0,0,0.427038587,0,0,0,0,0,0.310283085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
