month,quizsoc,hey,later,discus,interview,happen,organize,christopher,expect,hear,however,aforementioned,program,move,inter,campus,study,one,screen,concern,part,annual,date,earliest,per,due,tata,dear,ready,lot,cause,finance,year,tr,solution,shubham,fair,responsibility,various,speedcubing,alok,competetion,blue,theorem,auditorium,chandigarh,edict,studio,issue,retrieval,planning,summer,blood,cfe,could,tomorrow,another,start,stock,fan,osl,madam,sometime,bank,quiz,u,held,record,approval,detail,share,ashoka,hall,increase,body,reimburse,lunch,session,notice,regard,people,lt,tournament,touch,recieve,seat,look,th,hope,information,amount,concert,residence,possible,hi,yet,speak,fee,banjaara,interaction,decide,fest,old,follow,shift,college,around,travel,pol,sorry,dean,cleanliness,please,area,process,reimbursement,trek,sort,confirm,nd,quizzer,remove,help,prize,room,common,earlier,person,classroom,sir,larger,man,cover,preferably,quizfest,know,committee,money,forward,postpone,would,use,seater,poetry,goa,yes,student,tommorow,fandfict,club,book,inconvenience,lecture,guest,vistaar,give,inform,donation,cancellation,mph,mic,proposition,fanfiction,appointment,head,event,lr,food,sh,attach,bangalore,shabd,class,tueday,stay,make,undergraduate,venue,lie,recieved,onwards,towards,meet,camp,night,life,yifs,community,collect,submit,problem,reschedule,comic,course,sure,game,kindly,slot,empty,movie,go,space,small,ultimate,society,dance,album,music,necessary,semester,fun,promise,good,last,team,pm,purchase,sweet,timing,host,minimum,expense,fiction,cancel,want,crucible,great,gear,agree,week,entire,win,goverdhan,trading,rough,free,uni,let,get,behalf,mountaineer,chosen,ac,slam,punjay,respect,spent,floor,economics,spoken,serious,suitable,projector,conduct,participation,abroad,olympics,email,talk,meeting,weekly,manipal,debate,need,accomodation,bill,do,goswami,soon,like,prof,litter,series,feb,ticket,thank,thanks,work,time,find,schedule,young,even,tell,approve,discussion,theory,league,frisbee,contact,fresher,pulpi,saturday,open,trip,sport,id,update,receive,dorm,st,apologise,allot,dept,print,ugs,lately,hence,logistics,hello,Target_Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149590927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522983013,0.218952097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352979319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133209721,0,0,0,0,0,0,0,0,0,0,0,0.340007389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438140224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319213889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218952097,0,0,0,0,0,0,0,0,0.237534553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151937102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222386129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358515426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135298974,0,0,0,0,0,0,0,0,0,0,0,0.172670023,0,0,0,0.252554369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14833733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444772257,0,0,0,0,0,0,0,0,0,0,0.324220421,0,0,0,0.324220421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222386129,0,0,0,0,0.358515426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281013826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159871091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29568806,0,0,0.377236708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142364139,0,0,0,0,0,0,0,0,0,0,0,0.181686662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341150856,0,0,0,0,0,0,0.312166685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467997777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233998888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29568806,0.341150856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120702861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569628311,0,0,0,0,0,0,0,0,0,0,0,0.176669434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107485091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159040105,0,0,0,0,0,0,0,0,0,0.235686212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176669434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176669434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257569295,0,0.51513859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223244831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164418502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257569295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0.232348663,0,0,0,0,0,0,0,0,0.232348663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108883896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190333829,0,0,0,0,0,0,0,0.180990049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30718631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318740685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256925765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232348663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464697325,0,0,0,0,0,0.201385176,0,0,0,0,0,0,0,0,0,0,0,0.232348663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429821863,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128563272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449468487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114484735,0,0,0.36270632,0,0,0,0,0,0,0,0.274342723,0,0,0,0,0,0,0,0,0,0,0,0.204144864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213701693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204144864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606723645,0,0,0,0,0,0,0,0.253753343,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0.239021505,0,0,0,0,0,0,0,0,0,0,0,0,0.239021505,0,0,0,0,0,0,0,0,0,0,0,0.26430444,0,0,0,0,0,0,0,0,0,0.26430444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186187919,0,0,0,0,0,0,0,0,0,0,0,0.442165956,0,0,0,0,0.099744996,0,0,0.316008422,0,0,0,0,0,0,0,0,0,0,0.239021505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195800044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239021505,0,0,0.239021505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26430444,0,0,0,0.142966457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239021505,0,0,0,0,0,0,0,0,0,0,0.221082978,0,0,0,0,0,0,0,0,0,0,0,14
0.22207667,0,0,0,0,0,0,0,0,0,0,0.22207667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22207667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181919287,0,0,0,0.491134467,0,0,0,0.172988589,0,0.245567234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092673822,0,0,0.293605791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165252467,0,0,0.245567234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172988589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132831206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165252467,0.245567234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245567234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22207667,0,0,0,0,0.245567234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0.159019734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246483311,0,0,0,0,0,0.104458434,0.246483311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246483311,0,0,0,0,0,0,0,0,0,0,0,0.193200106,0,0,0,0,0,0,0,0.222905117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386400211,0,0,0,0.222905117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246483311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165868933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445810233,0,0,0,0,0,0,0,0,0,0,0,0.222905117,0,0,0,0,0,0,0,0,0,0.193200106,0,0,0,0,0.246483311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246483311,0,0,0,0,0,13
0,0,0,0,0.157317503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203969104,0,0,0.220519023,0.220519023,0,0,0,0.103340256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243844824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220519023,0.343550492,0,0,0,0,0,0,0,0,0,0,0,0,0.220519023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117441784,0.38226398,0,0,0,0,0,0,0,0,0,0.164093385,0,0,0,0,0.136162848,0.243844824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220519023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164093385,0,0,0,0,0,0,0,0,0,0,0,0,0.243844824,0.220519023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131899527,0,0,0.140767585,0,0,0,0,0,0,0.180643304,0,0.180643304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
