next,id,drop,course,reimbursement,semester,regard,card,take,clicker,offer,remote,know,registration,room,wifi,session,require,issue,discus,detail,fc,help,cancellation,guest,major,internet,timetable,math,connect,lose,add,provide,book,world,quiz,fest,event,meet,common,projector,login,list,meeting,speaker,timing,attach,reimburse,work,cancel,Target_Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431209816,0.485136665,0,0,0,0,0,0,0.234842771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462530464,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570170649,0,0,0,0,0,0,0.276005639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604268316,0,0,0,0,0,0,0.292511484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288055433,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470837675,0,0,0,0,0,0,0.227920981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226921021,0,0,0,0,0,0,0,0.56335504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208909016,0,1
0,0,0,0,0,0,0,0,0,0.482876738,0,0,0,0,0.18679292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221735357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.649441561,0,0,0,0,0,0.311819748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246983224,0,0,0,0,0,0,0,0.251865144,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.535650224,0,0,0,0,0,0.257184523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415469625,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.515198327,0,0,0,0,0,0,0,0.597364303,0,0,0,0,0.217078656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.501415838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190688906,0,0,0,0,0,0,0,0.194458101,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232913804,0,0,0,0,0,0,0,0.253696095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563897771,0,0,0,0,0,0,0,0.499662697,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189944719,0,0,0,0.221307673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592890353,0,0,0,0.203741231,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515248712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248612481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.221142158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342180819,0,0,0.256410831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203095455,0,0,0,0,0.211421934,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223105129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597705796,0,0,0,0.205396013,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187260588,0,0,0,0,0,0,0.222215172,0,0,0,0,0,0,0,0.212447784,0,0,0.416229615,0,0,0,0,0,0,0,0,0,1
0,0.453433665,0,0,0,0,0,0.463422267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171340207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.554479029,0,0,0,0,0,0.377795693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419044984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.380156764,0,0,0,0,0,0.388531163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215476298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.431045937,0,0,0,0,0,0.440541363,0,0,0,0,0,0,0,0,0,0,0.203206892,0,0,0,0,0,0,0,0,0,0,0,0.244320743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
